,S.NO.,Gender,Age,"Do you chalk your success up to fates, luck or
error?","Many times, you feel crushed by constructive criticism, seeing it as evidence of your ""ineptness""?","Do you believe ""If I can do it, anybody can""?",Do you agonize over the smallest flaws in your work?,Do you believe that everything you do must be completely perfect?,"In rare cases you feel crushed by constructive criticism, seeing it evidence of your ""ineptness""?",Do you feel incompetent despite attaining success?,You compare your abilities to people around you and think that others may be more intelligent than you.,You blame your luck for success rather than hard work,Do you think shortcut to success makes you smarter,You have doubts about your abilities despite people around you trusting you.,Do you often fear not meeting other people's expectations?,I am a perfectionist,Do you feel like a non-valuable member of the family if you don't participate in domestic work?,"""I have to be good at a particular activity to enjoy it"" (As in, if you picked up a new hobby like painting, the only way you feel good about doing it is if you are using perfect techniques and doing it the ""right"" way)",I believe that means is more important than the ends,"When people compliment you, you think you are not as accomplished as they think",Most of your success has been a stroke of luck,You have an above-average IQ score,Your emotional quotient is better than your general IQ score,You downplay compliments from others.,Do you feel like an unimportant family member if you don't involve in decision-making process?,Which places do you think you can be yourself without being judged?,comfort.home,comfort.college,comfort.friends,comfort.work,comfort.online,comfort.alterego,What places do you think you pretend to be someone you are not?,"At least 70% of individuals have dissatisfaction in their lives. Women mostly face self-image issues and in men, it is driven by the fear of not being successful or letting people down. Do you agree with this? And in your experience, how have you seen variances to the mentioned scenarios?","As the campus has reopened after conducting classes, examinations, and project reviews online over the past 2 years, do you feel that this might bring up changes in confidence levels, due to the adjustments which may have arisen doubts in self-esteem from the initial change of method?"
65,66,F,20,N,A,D,SA,SA,D,A,SA,D,D,A,N,SA,N,A,A,A,SD,N,D,N,D,"HOME,WITH FRIENDS",100,60.0,80.0,,40,,NOWHERE,"YES,I COMPLETELY AGREE WITH THIS.I HAVE ALSO SEEN MEN WITH BODY ISSUES AND WOMEN HAVING THE FEAR OF NOT BEING SUCCESSFUL.","YES,EMBRACING CHANGE IS HARD.BUT IT ALSO IS INEVITABLE.IT IS BRINGING UP CHANGES IN CONFIDENT LEVELS AND I AM ANXIOUS ABOUT NOT PERFORMING WELL ALL THE TIME!"
66,67,M,20,D,N,D,A,D,N,D,A,D,A,A,A,D,D,N,A,D,N,SD,D,A,D,"COLLEGE,WITH FRIENDS",60,90.0,100.0,70.0,40,10,NOWHERE,"AGREE, I FEEL DISSATISFACTION WHEN I AM NOT SUCCESSFUL AT A TASK ASSIGNED TO ME IN TIME.",YES. I FEEL MUCH MORE CONFIDENT IN OFFLINE.PEER-LEARNING WAS MISSING EARLIER.
67,68,M,20,A,A,A,N,SA,A,A,SA,A,N,SA,A,D,N,SA,N,SA,,A,SA,N,A,"HOME, WITH FRIENDS, ONLINE",100,60.0,80.0,,80,,"COLLEGE, WITH FRIENDS, ONLINE","YES, MEN ARE ALWAYS BURDENED WITH EXPECTATIONS DIRECTLY OR INDIRECTLY WHETHER IT IS REGARDING A GOOD COLLEGE, CGPA OR A GOOD PERCENTAGE",YES IT WILL SURELY AFFECT MY CONFIDENCE IMMENCLY. NOW IT DEPENDS ON THE RESULT THAT THE EFFECT IN POSITIVE OR NEGATIVE
68,69,M,20,D,A,A,A,A,D,A,SA,A,A,SA,A,N,D,A,A,A,SD,N,N,A,D,"HOME,COLLEGE",100,70.0,90.0,60.0,95,90,YES MOST OF US ARE FACING DISSATISFACTION BECAUSE IN MY POINT-OF-VIEW DUE TO SOME INFLUENCE ON US WE ARE NOT LIVING OUR LIFE OUR WAY,I AM QUITE DISSATISFIED SOMETIMES BY MY PERFORMANCES IN CLASSWS AND IN EXAMS AND EVEN IN CONTROLLING MYSELF LIKE FOLLOWING A SCHEDULE OR SELF DISCIPLINE,YES DURING ONLINE MODE I WAS VERY CONFIDENT AS I HAD MY CAMERA TURNED OFF AND NO ONE WAS WATCHING ME BUT IN OFFLINE MODE I HAVE A BIT OF INFERIORITY COMPLES LIKE STAGE FEAR AND EXPRESSING MY THOUGHTS FREELY . SO I THINK NOW DUE TO OFFLINE CLASSES MY SELF ESTEEM MAY INCREADE
69,70,M,20,SA,N,SA,A,A,N,SA,SD,N,SD,A,A,SD,SD,N,N,D,SD,SD,SD,SD,D,NOWHERE,70,50.0,70.0,,50,50,"COLLEGE,WORK,ONLINE",IT WILL BE A DIFFICULT TIME TO PICK -UP A OFFLINE WAY AGAIN BUT COMPARE TO ONLINE IT WILL BE VERY USEFUL TO GAIN A RESOURCEFUL KNOWLEDGE AND EXPERIENCE FOR OUR OWN ALWAYS ,
70,71,M,20,D,D,N,A,SD,D,D,N,SD,N,A,D,D,N,D,N,D,D,SA,N,N,D,NOWHERE,40,40.0,40.0,,40,40,"HOME,COLLEGE,WITH FRIENDS,WORK,ONLINE",,"NO,MAYBE A LITTLE BECAUSE OF CONTINUOUS EXPOSURE TO ONLINE SYSTEM, BUT NOTHING DRASTIC WHICH IS NOT CAPABLE "
71,72,M,20,A,N,SA,SA,N,N,SA,SA,N,N,SA,SA,D,N,SD,A,A,SA,N,A,N,SD,NOWHERE,80,50.0,70.0,60.0,60,10,NOWHERE,YES. MANY A TIMES I FEEL LIKE I'M AN UNSUCCESSFUL PERSON WHO HAS DONE NOTHING IN THEIR LIFE AND I WANNA ACHIEVE THINGS,"YES, I DO STRONGLY BELIEVE IN THAT."
72,73,M,20,D,N,D,A,D,N,A,N,N,N,N,A,D,D,A,A,N,D,A,A,N,D,NOWHERE,60,65.0,60.0,65.0,70,,NOWHERE,,
73,74,M,20,N,A,A,SA,A,A,SA,SA,SA,D,A,SA,N,A,SA,A,SA,D,A,A,N,N,HOME,99,70.0,80.0,70.0,85,60,"YES,I TOTALLY AGREE WITH THIS. THIS MAIN THING I FEAR MOST IN EXAMS.","YES,IT WILL DEFINITELY BRING UP A BOOST TO OUR CONFIDENCE AS WE WILL BE ABLE TO MEET A LOT MORE PEOPLE WILL BE ABLE TO HELP US OPEN UP MORE.",YES IT WILL BRING UP CHANGES IN CONFIDENCE LEVELS WITH TIME IT WILL GET BETTER AFTER AN ADJUSTMENT PERIOD
74,75,M,21,N,A,A,A,N,A,SA,A,SD,SA,A,N,N,N,D,A,D,D,D,N,N,D,"HOME,COLLEGE,WITH FRIENDS",50,25.0,25.0,,,,"WORK,ONLINE,NOWHERE",YES.,YES.
75,76,M,22,N,N,A,D,A,D,D,D,D,N,A,A,D,N,A,N,N,D,N,N,D,A,WITH FRIENDS,50,60.0,90.0,30.0,70,,WORK,YES I AGREE WHEN I HAVE A FEAR OF LETTING PEOPLE DOWN IN MY DAILY LIFE,NO THIS WONT BRING UP CHANGES IN CONFIDENCE LEVEL
76,77,M,20,SA,N,SA,N,N,A,D,A,D,SD,A,N,A,A,A,A,D,D,A,SA,N,SA,HOME,90,70.0,90.0,80.0,90,50,COLLEGE,"YES,I HAVE SEEN AND ALSO BEEN OERCRITICIZED ABOUT MYSELF THUS BEING DISSATISFIED WITH MYSELF.","YES,BEING PHYSICALLY AROUND PEOPLE HAS DIRECT EFFECT ON SELF-ESTEEM AS YOU SEE OTHERS ATTAINING SUCCESS WHICH YOU THOUGHT THEY COULDN'T"
77,78,M,20,A,N,SD,N,SA,N,SD,A,N,A,D,SA,SA,SD,SA,SD,N,D,SA,N,SA,SD,HOME,100,70.0,90.0,70.0,90,,NOWHERE,YES I COMPLETELY AGREE WITH THIS,MY CONFIDENCE LEVEL HAS DEFINITELY GONE UP SINCE THE REOPENING OF CAMPUS
78,79,M,19,A,SA,SA,SA,SA,SA,SD,SA,N,SD,SA,SA,SA,A,N,D,A,D,N,N,SA,SA,"HOME,ONLINE",100,70.0,75.0,80.0,90,50,COLLEGE,"YES,I'VE SEEN AND FACED EXCEEDING EXPECTATIONS BEING PUT ON PEOPLE THUS OVERBURDENING THEM.","YES,PHYSICAL PRESENCE AND PARTICIPATION ALTHOUGH TERRIFYING,BOOSTS THE SELF-ESTEEM OF PEOPLE AFTER SUCCESSFUL COMPLETION."
79,80,M,20,N,N,SA,N,N,A,N,D,D,N,N,D,N,N,D,N,N,D,N,N,D,D,NOWHERE,100,80.0,80.0,80.0,80,80,WORK,YES,NO
80,81,F,20,A,A,SA,N,D,N,A,SA,SA,N,A,A,SD,A,A,A,A,A,SA,SA,SA,SA,"COLLEGE,WITH FRIENDS,WORK,ONLINE,NOWHERE",25,90.0,100.0,90.0,80,100,"HOME,WORK","YES,IT HAS ALWAYS BEEN DIFFICULT TO ACCEPT MY ACHIEVEMENTS BECAUSE I'VE BEEN TOLD THAT I AM INCAPABLE BECAUSE I AM A WOMAN.","IT WAS EASIER FOR ME TO DO OFFLINE COLLEGE BECAUSE I AM AN EXTROVERT.ONLINE COLLEGE CONFINED ME TO A ROOM AND LAPTOP SCREEN,MAKING ME FEEL SUFFOCATED."
81,82,M,21,N,A,N,D,SA,A,A,D,N,A,A,SA,A,D,SA,A,N,N,SA,D,A,D,HOME,90,20.0,30.0,20.0,0,0,"COLLEGE,WORK,ONLINE",SOME DON'T APPRECIATE OF WHAT THEY HAVE AND SOME DON'T APPRECIATE OF WHAT THEY HAVE ACCOMPLISHED IT'S A CONSEQUENCE OF NOT BEING THOUGHTFUL AND APPRECIATIVE,FOR THOSE WHO CARE ABOUT THE OTHER'S PERSPECTIVE ABOCE THEIR OWN MIGHT DEFINITELY HAVE A CHANGE IN CONFIDENCE AS IT IS A CONSEQUENCE OF FACING REAL EMOTION AND INTERACTINOS IN A EPRSON. ANONYMITY IS ALSO A FACTOR WHICH IS TO BE CONSIDERED AS IT PLAYED A KEY ROLE IN BOOSTING CONFIDENCE FOR STUDENTS.BOOST UP IN CONFIDENCE RESULTS IN HAVING A SENSE OF BELONGING TO THE CROWD SO THE LEVEL OF SELF ESTEEM MIGHT VARY SIGNIFICANTLY
82,83,M,20,N,A,SA,N,N,D,A,A,N,N,A,A,N,N,D,A,SD,SD,D,A,N,A,"HOME,COLLEGE,WORK,WITH FRIENDS,ONLINE",100,100.0,100.0,100.0,100,50,NOWHERE,"YES,I AGREE WITH THIS.MYSELF I FEEL BAD IF I DON'T SCORE GOOD MARKS ALTHOUGH IT IS ENOUGH YOU TO GET A GOOD GRADE.","YES,DURING ONLINE REVIEWS WE STUDENTS NOT USED TO SPEAK ON PODIUMS, WHICH WILL SURELY ALTER YOUR CONFIDENCE."
83,84,M,21,D,A,SA,A,A,A,SA,A,SD,D,N,D,N,D,SA,A,A,SD,A,N,A,A,"HOME,WITH FRIENDS,ONLINE",99,80.0,90.0,70.0,90,10,NOWHERE,"YES,I AGREE WITH THIS.I HAVE NOT SEEN VARIANCE TO ABOVE MENTIONED SCENARIOS SO FAR.","AS WE MOVE FORWARD IN A DIGITAL ERA,CONDUCTING WORK IN AN ONLINE ENVIRONMENT IS BOTH FEASABLE AND CONDUCIVE TO SMOOTH WORKFLOW. NO I DO NOT FEEL THIS MIGHT BRING UP SOME CHANGES IN CONFIDENCE LEVELS BECAUSE THE WAY A STUDENT EXPRESSES HIM/HERSELF REMAINS UNCHANGED WHETHER A WORK IS BEING CONDUCTED ONLINE/OFFLINE.BUT IN ONLINE ONE CAN WORK FROM THE COMFORT OF  HOME SO ONE CAN PERFORM EFFECTIVELY MORE IN ONLINE THAN OFFLINE"
84,85,M,21,A,A,A,A,A,A,SA,SA,SA,A,SA,SA,A,A,A,A,A,A,A,SA,N,SD,HOME,60,40.0,70.0,30.0,45,20,COLLEGE,I AGREE WITH THE CASE IWTH MEN. AS I HACE FELT SOMETIMES THAT I HAVE LET MY PEOPLE DOWN,I FEEL THAT CAMPUS EDUCATION GIVES ME BETTER CONFIDENCE WHILE GIVING PROJECT REVIEWS
85,86,M,20,N,A,A,N,N,A,D,N,D,N,N,A,N,N,SD,A,A,D,N,N,D,N,"HOME,WITH FRIENDS",90,80.0,90.0,60.0,70,40,NOWHERE,PARTIALLY AGREE WITH STATEMENT.FROM SOCIAL MEDIA I HAVE WITNESSED SCENATIOS WHERE THIS STATUS HAS BEEN BROKEN.ALSO WITHIN FAMILY AND FRIENDS,"YES.OFFLINE BRINGS OUT MANY SCENARIOS WHERE IT TESTS A PERSON'S SELF ESTEEM AND BRING OUT THE REAL NATURE OF THE PERSON. THIS IS ESPECIALLY HELPFUL IS REALISING YOUR OWN FLAWS OR WEAKNESSES BUT ALSO ANY ACCOMPLISHMENT ACHIEVED BY WORKING TOWARDS YOUR FLAWS. IN RECENT TIMES, THE IDEAL IMAGE OF A WOMAN'S ROLE AND A MAN'S ROLE HAS BEEN SHIFTED SO TO BREAK THE MENTIONED STATUS QUO. I THINK THAT IS IMPORTANT AS THIS PLAYS AN IMPORTANT NOTICE THAT HELPS A LOT OF PEOPLE TO REALISE THEIR FLAWS AND START WORKING ON IT"
86,87,M,21,A,N,D,N,N,A,N,A,N,A,N,A,N,A,A,N,N,D,N,N,N,A,NOWHERE,90,70.0,80.0,70.0,60,80,"HOME,COLLEGE,WITH FRIENDS,WORK,ONLINE","I DON'T KNOW MUCH ABOUT WOMEN,BUT I DO AGREE WITH THE REST.","YES, IN CAMPUS YOU HAVE TO TAKE CARE OF YOURSELF.SO EVEN IF YOU DO BAD YOU HAVE TO LET IT GO.BUT IN HOME YOU ARE MOSTLY STUCK IN YOUR ROOM THINKING AND STRESSING ABOUT THINGS. "
87,88,M,19,N,D,SD,A,A,D,D,SA,SD,D,D,A,SD,SD,A,N,A,D,N,N,D,D,HOME,99,75.0,95.0,,98,,COLLEGE,YES. EVERYONE LVE THIEIR OWN LIFE AND FACE THEIR OWN PROBLEMS IN THEIR LIFE. WE WILL BE IN CONSTANT FEAR OF LETTING DOWN THE EXPECTATION OF PARENTS,YES
88,89,,,A,N,A,A,A,N,D,SD,N,N,A,A,A,N,A,N,N,D,A,SA,A,A,"HOME, COLLEGE, WITH FRIENDS, ONLINE",85,90.0,90.0,,80,,ONLINE,"NO, I DO AGREE WITH THIS STATEMENT. GROWING UP, MY PARENTS HAVE INSTILLED THE THOUGHT IN ME THAT ITS A MALE DRIVEN SOCIETY, SO I NEED TO BE PERFECT AT WHATEVER I DO TO MAKE AN IMPACT","NOT REALLY, I FEEL I AM MORE OF MYSELF WHEN I'M AROUND PEOPLE THAN WHEN I AM BY MYSELF. SOCIAL INTERACTION HELPS ME. SURE THERE ARE CHANGES FROM HOW I WAS 2 YEARS BACK BUT NOTHING TOO DEVASTATINGLY NEGATIVE."
89,90,,,A,A,SA,N,A,A,A,A,N,D,N,A,SA,N,N,N,SA,A,A,N,SA,N,WITH FRIENDS,60,80.0,100.0,40.0,100,100,ONLINE,"I FEEL THIS IS MOSTLY TRUE, BUT I HAVE SEEN VICE VERSA CASES AS WELL.",NO I DO NOT THINK SO. I BELIEVE I SHOULD BE ACCUSTOMED TO THIS AS I WAS LUCKY ENOUGH TO HAVE A CHANCE AT LIVING COLLEGE LIFE BEFORE PANDEMIC.
90,91,F,20,SD,SD,A,SD,SA,A,SD,N,SD,SD,SD,SD,A,D,SD,A,SD,SD,A,N,SD,N,"WITH FRIENDS, WORK",60,95.0,100.0,100.0,100,90,HOME,AGREE 100%. GETTING BODY SHAMMED OR BEING ASKED TO DO DOMESTIC WORK JUST BECAUSE I AM A GIRL.,TO AN EXTENT. DEPENDS ON ACADEMIC PERFORMANCES POOR PERFORMANCE DEFINITELY HURTS THE EGO AND LOWERS CONFIDENCE.
91,92,,,D,N,A,A,D,N,D,SA,D,A,A,SA,D,N,A,A,A,A,N,A,A,D,"HOME, WITH FRIENDS",98,75.0,90.0,,60,0,COLLEGE,"DISAGEE. IN FACT I FEEL THE OPPOSITE. MY PARENTS RAISED ME AS THE ONLY CHILD, HENCE, I FEEL TE RESPONSIBILITY TO BE SUCCESSFUL RATHER THAN HAVING ISSUES ABOUT MY IMAGE","YES, I AGREE IT WILL INCREASE CONFIDENCE BRIEFLY, SINCE EVERYONE HAS BEEN STARVED OF HUMAN INTERACTION. HOWEVER, AS THE AMOUNT OF WORK INCREASES AND PLACEMENT SEASON APPROACHES, IT MAY VARY."
92,93,M,22,A,D,SA,A,SA,N,A,SA,D,SD,A,A,SD,A,A,A,A,SD,A,SA,N,D,WITH FRIENDS,95,75.0,80.0,75.0,90,50,NOWHERE,"BEING A MAN YOU HAVE TO ACHIEVE SOMETHING TO ADD VALUE TO YOUR LIFE AND PERSONALITY, BUT I DON'T THINK IT'S THE SAME FOR WOMEN.","IT DEPENDS ON THE INDIVIDUAL.THERE COULD BE MANY REASONS A PERSON WOULD LIKE REOPENING OR NOT BUT IT WILL ADD UPTO THE CONFIDENCE LEVEL, I CAN SAY THAT."
93,94,,,N,N,A,N,D,N,A,A,N,D,A,A,N,A,N,A,A,D,A,A,A,A,NOWHERE,50,10.0,20.0,10.0,5,10,"WITH FRIENDS, ONLINE",HARSH REALITY. SEE IT ALL AROUND ME AS MUCH AS I DISAGREE WITH THIS,YES ONLINE MODE ALLOWED AS MANY PEOPLE TO PERFORM AND PRESENT BETTER WHO COULDN'T JUST DO IT BEFORE BECAUSE THEY WEREN'T CONFIDENT ENOUGH TO DO IT IN FRONT OF A BUNCH OF PEOPLE
94,95,,,N,D,N,D,SA,D,SD,D,D,N,SD,SD,A,SD,N,N,SD,SD,A,N,N,D,"HOME, COLLEGE, WITH FRIENDS, WORK, ONLINE",90,80.0,90.0,80.0,90,,NOWHERE,I HAVE NOT EXPERIENCED SUCH VARIENCES,"NO, CHANGES IN CONFIDENCE LEVELS HAVE OCCURED NOT DUE TO SELF ESTEEM BUT MODE OF EXAMINATION"
95,96,,,N,N,A,A,D,N,A,A,N,A,A,SA,SA,N,D,N,N,N,A,N,N,D,HOME,50,10.0,40.0,,,,"COLLEGE, WITH FRIENDS","YES, I AGREE WITH THIS","YES, I THINK ADJUSTING WILL BE HARD BUT OVER TIME IT WILL BE EASY"
96,97,,,A,SD,SD,SA,A,SD,SD,SD,SD,SD,A,SA,N,SD,SA,N,SD,SD,A,SD,N,SD,ONLINE,80,50.0,65.0,75.0,80,,NOWHERE,I FEEL THAT WOMEN MIGHT ALSO FACE THE FEAR OF NOT BEING SUCCESSFUL GIVEN THAT IT IS TIME WHEN WOMEN ARE EXPLORING VARIOUS FIELDS AND IT IS NOT ONLY THE MEN,IT DEPENDS ON HOW PEOPLE (STUDENTS) HAVE SPENT THEIR TIME IN THE LAST 2 YEARS. ALL OF US HAVE BEEN A PART OF ONLINE WORLD EQUALLY SO I FELL LIKE THE IMPACT WOULD MORE OR LESS BE THE SAME  
97,98,,,N,N,SA,A,A,A,N,A,SD,D,N,A,N,N,D,A,N,D,N,N,N,A,"HOME, WITH FRIENDS",99,90.0,95.0,85.0,90,90,NOWHERE,YES,YES. THIS CAN CAUSE A DECREASE IN CONFIDENCE LEVELS INITIALLY BUT AN IMPROVE OVER TIME
98,99,,,SD,N,SA,SA,A,D,D,SA,N,D,N,A,D,D,SD,N,SD,N,SA,SA,D,A,NOWHERE,100,90.0,90.0,80.0,100,95,NOWHERE,I AGREE WITH THIS. IN MY EXPERIENCE MANY INDIVIDUALS HAVE DISSATISFACTION AND SELF IMAGE ISSUE,YES IT MIGHT INCREASE THE CONFIDENCE LEVELS AND SELF ESTEEM ABOUT THE INDIVIDUAL
99,100,M,20,N,SD,A,A,N,D,A,A,N,SA,A,A,D,A,SA,N,D,N,N,N,A,SA,"HOME,WITH FRIENDS,WORK,ONLINE",100,75.0,90.0,90.0,95,0,NOWHERE,NO,"YES,MORE SOCIAL ACTIVITY WILL HELP INCREASE SELF-CONFIDENCE."
100,101,M,20,N,A,D,D,N,A,SD,A,SD,SA,N,SA,N,N,D,D,D,SD,N,N,A,SA,WITH FRIENDS,90,70.0,90.0,60.0,80,70,ONLINE,"YES,BEING A MAN VARIOUS THOUGHTS OFTEN COME REGARDING FAILING IN LIFE,DESPITE HARDWORK.","YES,THIS WILL DEFINITELY BRING MORE CONFIDENCE BUT SIMULTANEOUSLY FOR SOME OTHERS LIKE FRESHERS,GETTING OUT OF COMFORT ZONE IS NOT EASY."
101,102,M,19,A,A,SA,D,A,A,SA,A,SA,N,A,SA,N,A,SA,SA,SA,N,A,A,A,N,"HOME,WITH FRIENDS,WORK,ONLINE",85,75.0,90.0,,80,,NOWHERE,"YES, AND I EXPERIENCE SITUATIONS WHICH WERE IN NEWS",YES I DO.
102,103,M,20,D,SA,SA,SA,D,SA,SA,SA,SA,N,SA,SA,N,SA,,SD,SA,SA,N,SA,N,SA,NOWHERE,50,50.0,80.0,,90,90,"HOME,COLLEGE,WITH FRIENDS","YES,I AGREE I AM ALWAYS SCARED OF NOT MEETING OTHERS EXPECTATIONS",YES
103,104,M,20,N,A,N,A,A,N,A,A,A,A,N,SA,A,D,A,A,D,,A,N,N,SD,WITH FRIENDS,10,10.0,50.0,10.0,20,0,NOWHERE,"NO,I DONT'T AGREE, AS IF YOU ARE CONFIDENT THENE FEAR NEVER COMES TO YOU.","YEAH,A LOT OF CHANGES AS IN ONLINE THERE WILL NOT BE MORE PRESSURE AS IN PHYSICAL CLASSES.SO THAT WE CAN CONCENTRATE AND IMPROVE IN MORE."
104,105,M,20,A,D,D,A,N,D,SD,SA,D,D,N,A,A,SA,A,A,D,SD,A,SD,D,A,"HOME,WITH FRIENDS",80,60.0,100.0,30.0,10,50,NOWHERE,"YES I DO AGREE WITH THIS AS THE OLDEST BOY IN A FAMILY OF TWO SELF-MADE,WORKING PARENTS, THERE IS ALWAYS A SENSE OF INNER PUSH AND DRIVE TO BE YOUR MAN.","YES AND NO.I FEEL THAT WITH THE ADVENT OF ONLINE MODE OF CLASSES IT FELT MORE DESPERATE TO MAKE CONNECTIONS WITH PEOPLE, MAKING ME MORE VOCAL THAN I COULD MYSELF BE."
105,106,,,A,SD,SA,N,A,SD,SD,A,N,D,D,A,N,SD,SD,SA,D,D,A,N,D,SD,"HOME, WITH FRIENDS",100,50.0,80.0,50.0,100,50,NOWHERE,I THINK WE ALL FACE THESE AT A POINT OF LIFE. I FACED THIS LAST YEAR AND I'M STILL FACING IT AS I LOST MY MOTHER AND I THOUGHT I LOST EVERYTHING BUT THAT'S NOT TRUE,I THINK OUR ONLINE EXAMS WERE STRICT A COMPARED TO OTHER COLLEGES SO MAYBE I WOULD NOT FEEL SO MUCH OF DIFFICULTIES. I AM NOT SURE.
106,107,,,A,SA,N,SD,N,SA,N,A,A,SD,D,A,D,N,D,A,D,SD,N,SA,SD,SA,"HOME, WITH FRIENDS, ONLINE",100,50.0,90.0,30.0,70,,,YES I STRONGLY AGREE WITH THIS BECAUSE I HAVE SEEN MANY PEOPLE WHO FEAR TO SPEAK ON STAGE BECAUSE OF THEIR SELF APPEARENCE AND MOREOVER I AM ALSO FACING THIS,MY ANSWER IS NEUTRAL FOR THIS BECAUSE WHEN WE COME TO COLLEGE WE CAN LEARN THINGS MORE RATHER THAN BEING AT HOME BUT ALSO FACE ISSUES LIKE PROJECTS
107,108,M,20,SD,N,D,A,D,N,SD,SD,SD,SD,N,A,D,SD,SD,SA,D,SD,A,D,D,SD,"HOME,WITH FRIENDS",80,70.0,80.0,70.0,60,50,NOWHERE,"YES,MY BROTHER WORRIES MORE ABOUT BEING MORE SUCCESSFUL.",COLLEGE IS A GREAT WAY TO IMPROVE OUR SELF-ESTEEM AND CONFIDENCE LEVELS BECAUSE WE CAN TALK AND MEET PEOPLE.
108,109,M,20,D,N,A,A,A,D,SD,N,D,SD,D,N,A,D,SA,N,SD,D,A,D,N,A,WITH FRIENDS,70,70.0,90.0,50.0,60,10,HOME,BECAUSE THERE ARE SO MANY FEARS ABOUT NOT BEING SUCCESFUL.,"YES, I AGREE."
109,110,,,A,N,SA,A,A,D,A,SA,N,SD,A,SA,N,A,A,SA,A,N,D,SA,A,A,"HOME, ONLINE ",100,60.0,80.0,70.0,90,,"COLLEGE, WORK","YES, MOST OF THE TIME WE LACK BEHIND COMPARING TO OTHER PEOPLE. BE IT DECISION MAKING OR IMPROMPTU ANSWERS. THESE TYPES OF NEGATIVE SENARIOS BRING DISSATISFACTION IN LIVES","IN THE BEGINNING IT WOULD BE DIFFICULT TO COPE UP. BUT AS THIS IS A LEARNING STAGE, WE MUST BE ABLE TO FIT IN TO ANY TYPE OF SITUATIONS AT THIS TENDER AGE. THERE MIGHT BE ISSUES WITH CLASSES, CONFIDENCE LEVELS, ADJUSTMENTS, BUT THESE ALL ARE FOR GROWTH AND FUTURE DEVELOPMENT"
110,111,,,A,N,SA,A,N,N,A,SA,A,D,N,A,D,SD,A,N,D,N,A,N,SD,SD,NOWHERE,80,70.0,90.0,50.0,70,60,ONLINE,,AT PRESENT THERE IS NO SUCH TYPE OF FEELING. CONFIDENCE LEVELS WHICH I HAVE IN FIRST YEAR IS THE SAME IN THIRD YEAR NOT MUCH DUE TO COVID I HAS BEEN AT HOME NOT MUCH INTERACTED WITH VIT FRIENDS AND FACULTY
111,112,,,D,D,A,A,N,A,A,D,SD,N,A,A,N,SD,SD,A,N,SD,SA,D,SA,N,ONLINE,30,10.0,50.0,10.0,0,0,COLLEGE,"YES, I STRONGLY AGREE","NO, BECAUSE I AM CONFIDENT ABOUT MY WORK WHETHER OFFLINE OR ONLINE"
112,113,,,D,D,N,A,A,D,N,N,SD,SD,A,SA,D,D,SD,SA,N,D,,SA,A,A,NOWHERE,100,50.0,60.0,50.0,100,,HOME,YES,YES
113,114,,,A,N,SD,SA,SA,N,SA,N,SD,N,D,D,D,N,SA,SA,N,SD,SA,SA,N,A,"HOME, WITH FRIENDS",100,50.0,100.0,50.0,100,,COLLEGE,"I SOMEWHAT AGREE WITH THIS, ALTHOUGH I AM CONCERNED ABOUT IMPULSIVE PEOPLE, BUT IF ITS ABOUT BAING SUCCESSFUL AND LETTING PEOPLE DOWN, I SOMETIMES DOUBT MY ABILITIES","YES, IN MY OPINION, IT WOULD DEFINITELY BRING DOUBTS IN SELF ESTEEM, BEING AN INTROVERT AS I HAVE TO INTERACT WITH MORE PEOPLE"
114,115,,,A,A,SA,A,SA,A,N,SA,N,N,SA,SA,SA,N,D,N,SA,D,A,N,SA,N,"HOME, COLLEGE, WITH FRIENDS, ONLINE",70,80.0,90.0,80.0,80,100,"COLLEGE, WORK, ONLINE","YES, I AGREE WITH THE ABOVE. SELF IMAGE ISSUES ARE OFTEN BASED ON WHETHER ONE HAS ACHIEVED TASK OR WHAT OTHERS THINK OF YOU AND TELL YOU ",YES IT WILL BRING CHANGES IN CONFIDENCE LEVELS. MAINLY WILL REDUCE THE CONFIDENCE BUILT ONLINE AS IN PERSON I THIK PEOPLE FEEL MORE JUDGED ABOUT THEIR WORTH
115,116,,,N,A,SA,SA,SA,D,A,A,N,D,A,A,A,SA,SA,N,A,D,A,SA,A,A,WITH FRIENDS,50,55.0,75.0,30.0,40,,"HOME, WORK","YES, SOME PEOPLE ARE DIFFERENT THAN WHAT HAS BEEN TOLD HERE, BUT THIS DOES SUMMARISE IT PRECISELY","YES, IT IS A HUGE CHANGE IN MY OPINION. IT IS BOUND TO BRING CHANGES IN SELF IMAGE ISSUES OR SELF ESTEEM"
116,117,F,19,N,D,D,N,A,N,A,D,N,A,N,A,N,N,SD,A,A,D,A,D,N,D,"HOME, WITH FRIENDS",90,80.0,95.0,60.0,70,0,"COLLEGE, WORK","MY DISSATISFACTION USUALLY COMES FROM EXPECTATION. EVEN THOUGH I KNOW THE OUTCOME OF AN EVENT IS ONLY AVERAGE, I PRESSURIZE MYSELF ON THE ""WHAT IF"" BASIS ","IT WILL BRING UP CHANGES IN CONFIDENCE. SINCE YOU ARE ALL BY YOURSELF WHEN YOU ARE ALL BY YOURSELF WHEN YOU ARE BACK HOME, YOU ARE SOMEWHAT OLIVIOUS TO WHAT HAPPENS AROUND YOU BEYOND THAT PERIMETER THUS IT'LL TRULY AFFECT THE WAY YOU BEHAVE IN PERSON"
